40 5 8.36753, 44 0 5.42871, 49 4 7.3696, 61 1 1.2567, 79 0 3.13134, 81 4 8.64233, 89 9 -0.725666, 104 2 3.88736, 111 8 2.98308, 
123 8 2.00003, 159 10 1.52076, 163 7 6.3393, 166 4 3.15055, 178 0 6.22517, 181 8 8.62293, 184 2 10.4976, 215 1 -0.327139, 218 5 2.65689, 221 9 6.17151, 
227 0 3.26003, 230 5 5.73051, 235 7 8.89088, 240 9 4.8512, 243 7 3.19065, 264 6 3.58939, 276 10 2.69081, 282 0 3.63439, 294 4 9.78944, 305 1 3.67855, 
309 5 2.95169, 331 3 -2.34611, 351 7 2.2915, 395 5 12.8868, 401 2 1.97535, 408 9 0.161179, 422 2 1.93716, 428 9 6.10985, 437 10 0.0183348, 443 0 2.2299, 
451 6 6.58087, 456 5 2.93511, 461 9 6.28917, 470 7 1.55856, 483 6 1.67463, 485 8 6.36566, 498 9 3.7624, 515 7 4.46577, 519 6 4.78798, 552 2 8.03021, 
555 5 0.43029, 558 7 7.64607, 570 0 2.07159, 571 2 6.11926, 580 4 3.31717, 594 5 3.39635, 603 1 3.03164, 618 5 6.39486, 631 2 7.59251, 633 1 2.10643, 
636 4 9.32883, 655 4 7.84942, 658 9 11.9807, 668 1 2.81661, 679 2 4.30855, 681 9 4.79463, 686 6 7.74568, 689 3 3.57211, 696 0 4.96609, 700 9 8.69139, 
707 0 2.43511, 713 4 3.21224, 714 2 8.69848, 758 6 6.27819, 763 5 7.93369, 770 6 7.50696, 773 2 0.499608, 783 1 7.81079, 818 9 -0.0795835, 826 2 6.58632, 
840 5 3.64826, 847 9 3.40145, 851 8 11.0007, 853 1 11.723, 864 9 -0.789808, 869 4 4.29925, 870 5 1.59929, 873 9 8.32306, 876 1 6.96335, 888 6 3.12329, 
897 7 8.18644, 977 2 3.2824, 980 8 6.41959, 985 10 3.89788, 986 9 0.0552669, 1009 3 9.71888, 1012 10 10.1781, 1028 2 5.8165, 1034 3 5.25636, 1046 0 5.05838, 
1067 10 4.96114, 1078 4 3.4645, 1082 3 4.18304, 1092 2 2.72426, 1117 0 4.62846, 1121 10 12.3882, 1125 3 5.52492, 1129 0 2.73854, 1152 9 13.4642, 1156 0 4.92951, 
1159 7 4.64386, 1173 6 6.82865, 1178 3 3.46987, 1189 0 -2.23641, 1193 1 1.93919, 1200 4 8.13801, 1208 2 4.63048, 1215 4 8.37712, 1224 2 4.6732, 1237 0 6.8532, 
1257 8 4.496, 1288 3 3.91976, 1299 10 3.56607, 1308 3 1.16288, 1312 4 2.83751, 1317 3 0.589672, 1322 3 4.259, 1333 6 4.02164, 1334 5 10.7877, 1336 0 5.08512, 
1342 0 2.5108, 1350 6 3.00979, 1358 4 8.01482, 1362 7 4.52191, 1365 1 7.01091, 1384 1 4.92883, 1409 0 6.89746, 1429 8 6.31515, 1441 1 9.094, 1444 7 7.81091, 
1449 7 10.4633, 1475 5 6.39789, 1479 5 6.22825, 1486 7 3.07431, 1518 6 4.1539, 1563 9 4.86238, 1577 8 8.89196, 1581 7 8.18649, 1589 7 1.22313, 1607 4 4.86076, 
1616 8 9.90302, 1619 5 8.20065, 1629 5 5.65896, 1645 0 5.31019, 1649 5 7.46322, 1651 2 4.94565, 1678 4 0.494554, 1680 9 1.69499, 1690 2 6.54992, 1701 10 3.76863, 
1715 7 7.11677, 1719 10 3.20584, 1723 6 1.55045, 1732 2 6.85449, 1757 5 6.26314, 1764 0 0.76875, 1784 6 4.62173, 1801 6 6.87053, 1812 2 6.37673, 1820 3 4.9738, 
1855 3 4.10981, 1864 0 5.25525, 1875 4 3.54525, 1900 3 0.396823, 1906 8 1.73647, 1907 2 7.18739, 1924 2 5.6963, 1926 8 0.539434, 1934 4 6.32206, 1973 7 2.6562, 
2010 10 3.48464, 2016 2 6.94378, 2050 6 0.415968, 2066 8 -1.07256, 2092 5 10.1904, 2106 8 5.24092, 2110 1 4.30048, 2111 4 6.68832, 2117 0 6.03589, 2126 0 5.35226, 
2131 0 5.95371, 2156 9 7.25314, 2170 6 7.89896, 2174 10 1.30259, 2188 8 5.76532, 2190 4 8.02443, 2191 6 3.55797, 2192 5 9.50039, 2193 1 2.9605, 2194 3 6.703, 
2195 8 5.3049, 2196 1 9.19431, 2199 7 2.31247, 2203 4 8.19226, 2208 4 4.12929, 2212 6 11.3804, 2219 4 -0.731387, 2256 3 4.16207, 2264 6 3.53814, 2268 2 4.58003, 
2277 7 3.58196, 2290 10 0.0978787, 2294 6 5.43123, 2312 6 1.85768, 2319 4 2.04671, 2329 3 3.14058, 2337 10 -0.696856, 2341 4 5.32346, 2363 0 -1.37401, 2371 1 1.78145, 
2377 7 3.32687, 2388 4 7.02762, 2396 1 4.96231, 2399 8 2.92724, 2403 0 5.54224, 2462 2 6.24492, 2477 9 1.5633, 2489 6 5.59093, 2500 3 5.06987, 2521 5 1.45556, 
2524 5 3.20484, 2529 4 8.244, 2545 9 10.4387, 2549 6 7.01575, 2556 6 1.72122, 2559 10 5.85232, 2581 3 0.936479, 2599 3 3.76715, 2607 10 3.6035, 2634 8 8.03743, 
2639 7 3.83862, 2647 6 6.306, 2660 9 2.87059, 2705 4 2.74883, 2708 6 4.5997, 2711 2 6.52022, 2742 2 9.02402, 2762 4 9.79249, 2769 9 5.20676, 2816 6 2.18115, 
2821 4 2.44857, 2830 8 2.01227, 2842 1 6.68283, 2897 4 3.15282, 2902 4 0.26577, 2903 5 4.72341, 2915 3 9.05737, 2917 3 5.73245, 2918 1 1.1045, 2920 5 4.72605, 
2943 4 5.55455, 
