1 2 10.2089, 18 0 7.54742, 34 8 -0.887897, 64 9 1.6527, 90 1 8.13715, 92 3 8.83234, 100 4 9.29705, 106 8 -3.08504, 115 0 2.84533, 
116 4 6.94424, 135 4 7.98349, 146 4 0.108049, 167 3 5.75011, 180 2 5.52629, 200 0 11.0038, 230 6 1.92392, 261 6 4.44804, 283 10 6.45365, 297 0 6.52146, 
301 2 5.04612, 311 3 5.51029, 318 0 5.14012, 328 9 5.60914, 364 4 3.38909, 368 6 8.074, 380 4 9.63711, 387 5 2.03678, 394 1 3.6282, 396 6 4.2715, 
402 9 7.44232, 412 0 -1.29824, 443 3 -0.524538, 449 10 2.39228, 466 10 5.27316, 474 9 11.1043, 480 4 1.88838, 500 10 1.17136, 503 10 6.04115, 519 8 -0.0800437, 
528 0 2.08827, 529 5 7.20153, 532 9 2.30941, 535 10 -1.20145, 536 6 -0.139578, 545 2 5.77228, 557 9 1.33897, 563 3 8.83665, 577 8 5.77841, 592 5 3.93646, 
603 1 2.59706, 662 8 8.74289, 665 0 -1.05977, 680 7 4.91538, 690 2 12.2347, 699 9 4.81194, 718 8 5.50818, 719 8 1.98783, 726 9 4.43968, 734 5 5.453, 
756 10 4.75287, 775 1 2.29052, 818 3 3.28183, 822 1 8.43195, 825 4 3.13668, 839 2 8.46743, 852 4 10.5358, 866 10 5.63101, 879 5 0.796049, 888 0 3.97966, 
898 6 8.41328, 911 8 8.05524, 914 1 3.72852, 924 6 8.323, 939 1 1.5478, 944 10 3.22619, 946 6 3.73364, 962 9 6.82234, 963 0 7.2308, 970 4 7.07463, 
973 4 0.373289, 990 10 11.2743, 1008 3 6.96168, 1011 0 3.95253, 1027 4 5.02999, 1032 3 1.72761, 1042 8 4.27645, 1048 1 4.58428, 1075 9 1.97767, 1078 9 3.7662, 
1087 7 3.12195, 1101 10 0.525716, 1111 10 1.80931, 1113 5 7.48984, 1118 9 4.88479, 1170 1 4.74297, 1201 10 2.98765, 1215 3 8.40891, 1220 2 6.81736, 1224 5 10.2637, 
1227 3 1.58099, 1245 9 1.31025, 1254 3 9.01219, 1261 2 7.98817, 1271 5 8.62987, 1298 4 5.56916, 1310 7 4.73992, 1317 3 0.377294, 1322 7 4.34362, 1329 3 5.774, 
1335 9 8.05037, 1342 2 4.12962, 
