5 9 8.04605, 14 5 1.73426, 22 4 1.63592, 30 10 -0.997175, 39 2 7.64518, 44 7 3.56062, 46 8 6.16248, 53 6 6.28457, 67 3 9.88393, 
72 7 3.74253, 74 0 1.5822, 83 1 5.41053, 87 2 3.82287, 93 5 7.5935, 94 5 9.85992, 98 3 4.60755, 109 10 6.21591, 113 6 10.6021, 122 8 7.78925, 
132 8 -1.31492, 141 7 4.78864, 158 1 10.5976, 165 10 3.45532, 166 8 -0.164668, 185 8 9.41996, 193 3 3.81897, 204 1 7.695, 214 4 0.0593183, 222 7 1.84568, 
224 6 0.646151, 229 6 6.69507, 238 5 7.03204, 259 8 1.26181, 262 9 7.08603, 271 6 2.52006, 276 3 5.59786, 279 2 5.248, 288 5 5.632, 298 9 8.10569, 
302 7 8.22594, 306 4 10.4309, 319 8 7.95518, 357 10 8.35507, 358 3 5.73633, 400 8 4.94271, 413 4 13.4198, 421 10 8.71712, 423 8 8.51679, 467 6 9.81862, 
488 0 1.22125, 496 1 2.96985, 501 7 4.77327, 514 4 8.22552, 517 2 1.08834, 530 7 1.86681, 531 3 5.47256, 539 4 6.06701, 543 5 5.58506, 549 8 7.67274, 
559 1 9.41505, 566 2 7.38115, 567 0 4.83824, 573 7 9.72134, 576 2 9.38135, 585 7 4.31761, 589 9 1.26071, 598 4 6.16341, 600 1 3.29518, 611 10 6.50681, 
623 7 8.86268, 641 10 9.44374, 642 7 5.21221, 645 9 7.53357, 670 10 1.96602, 684 8 6.13452, 694 1 8.09298, 703 3 8.62526, 711 8 7.8522, 713 0 2.15661, 
720 6 2.56246, 727 10 6.41668, 755 2 4.37959, 763 5 7.70876, 769 5 4.52156, 770 3 8.21149, 780 4 11.2066, 782 1 4.09162, 807 7 3.56744, 816 4 9.56356, 
819 10 4.58621, 821 8 4.84243, 831 1 4.52431, 841 8 2.70168, 844 6 0.858114, 858 0 4.41529, 865 7 4.82717, 875 6 4.42128, 883 3 2.58396, 903 10 0.847322, 
905 10 8.64921, 913 6 -1.84939, 929 1 2.39008, 934 5 5.77671, 949 1 -1.21461, 950 2 6.89824, 955 1 6.55304, 959 2 2.7003, 975 4 7.02882, 976 9 0.303373, 
980 7 4.84031, 985 4 0.357654, 994 7 2.26587, 1007 1 0.388096, 1009 4 5.28887, 1033 8 10.4454, 1039 8 -0.798109, 1041 5 6.91109, 1051 3 5.81106, 1058 7 3.87147, 
1060 1 0.526181, 1066 3 2.29754, 1083 2 3.90973, 1084 3 7.6553, 1090 4 3.18761, 1093 0 6.3963, 1105 0 -0.937648, 1108 2 5.50171, 1132 8 7.67417, 1138 9 2.12878, 
1150 10 3.01128, 1159 8 0.524588, 1163 5 5.65654, 1173 0 6.53052, 1188 4 5.73704, 1210 5 3.42618, 1217 8 2.14815, 1219 6 6.92453, 1226 4 1.00045, 1239 3 1.55292, 
1242 7 2.04132, 1243 7 9.07169, 1251 2 1.48435, 1252 1 3.65417, 1253 6 3.49584, 1264 10 4.91658, 1277 3 7.61028, 1287 3 5.14026, 1303 5 4.04697, 1313 10 -0.569927, 
1318 4 5.09826, 1323 0 2.02361, 1325 0 0.28773, 1328 2 7.43857, 1348 10 3.33083, 1354 8 3.84532, 
