4 10 9.43773, 12 2 5.79266, 27 8 5.87096, 38 9 5.92963, 41 6 7.23885, 43 2 6.33547, 50 1 8.3275, 61 7 4.80044, 79 5 5.48392, 
80 7 -0.852448, 102 7 1.15896, 125 8 7.49969, 126 4 6.40315, 129 10 3.87641, 136 4 2.26657, 143 0 5.36194, 152 0 9.38079, 164 2 3.84449, 194 6 7.21891, 
203 10 1.61257, 205 3 6.37122, 223 8 3.81783, 232 1 3.8817, 239 7 8.00164, 248 9 0.40324, 254 8 1.21572, 258 5 0.256902, 264 0 5.57116, 269 6 9.49767, 
273 7 5.49481, 280 0 6.86916, 285 9 4.24304, 291 2 11.4902, 295 5 5.01281, 317 6 7.83516, 326 6 5.06827, 347 7 6.04095, 353 6 2.54798, 363 8 3.90488, 
369 6 1.73441, 381 1 4.38836, 391 0 4.97282, 406 10 2.81924, 410 10 1.83346, 415 4 2.71987, 426 9 3.88477, 429 6 9.72419, 431 3 4.48173, 434 3 2.2514, 
439 0 3.05724, 447 5 5.15557, 453 6 7.5421, 454 0 6.02114, 458 2 3.22012, 465 1 3.49649, 470 4 4.95818, 491 9 2.39019, 494 4 5.96728, 495 9 5.88244, 
508 8 0.864403, 523 3 6.79651, 524 9 5.89215, 540 5 2.87622, 542 1 1.81893, 544 7 4.8473, 571 6 7.41418, 582 10 11.2132, 608 1 5.77725, 614 8 9.15123, 
617 2 2.11304, 627 6 2.93918, 637 6 1.15387, 650 2 3.12554, 652 3 1.33844, 656 4 6.44282, 658 10 -1.3839, 660 8 6.9599, 666 9 7.53171, 682 5 5.94789, 
691 9 -1.2202, 692 6 2.20013, 698 0 1.44441, 704 7 1.5769, 707 5 5.80468, 715 0 7.65383, 721 2 6.38246, 735 0 1.77282, 742 3 5.65512, 757 2 9.40508, 
771 7 0.70047, 772 2 9.74605, 777 2 3.47882, 794 1 0.221813, 796 6 3.7821, 804 1 6.98611, 811 9 8.35958, 828 1 5.35705, 842 7 2.81821, 851 7 6.64614, 
857 9 6.57316, 863 2 7.99334, 868 5 1.87477, 876 2 8.94385, 882 1 4.13896, 890 0 -0.145177, 894 7 4.78266, 918 8 3.16321, 932 0 2.96772, 936 4 8.00479, 
938 6 8.32205, 956 7 5.61572, 958 4 5.47191, 972 4 8.85013, 977 5 -0.870197, 1001 7 6.42839, 1006 6 3.54529, 1014 0 2.62262, 1022 10 7.15188, 1036 0 2.86347, 
1045 2 4.81125, 1047 9 10.4049, 1055 0 7.31986, 1064 5 7.73396, 1067 6 -4.06801, 1070 9 6.82982, 1080 4 3.19915, 1082 5 6.73291, 1086 9 4.56746, 1091 6 5.02553, 
1114 0 6.67044, 1117 10 4.40267, 1126 3 2.9599, 1129 10 5.7349, 1133 10 7.96504, 1145 3 2.55188, 1160 1 -3.1835, 1167 0 11.0744, 1169 4 5.64707, 1187 10 2.13706, 
1191 4 6.09379, 1200 10 4.89507, 1207 2 -2.31448, 1218 2 8.351, 1238 3 8.20469, 1250 4 0.326275, 1257 0 3.56746, 1265 1 6.49516, 1272 3 6.62457, 1280 10 16.5842, 
1292 2 4.07811, 1294 0 7.85119, 1305 1 4.27177, 1320 6 8.90156, 1336 5 5.46874, 1347 4 2.88938, 1349 10 7.87893, 1358 0 8.12187, 1364 7 7.22645, 
