0 START, 11 0 7.2491, 19 8 3.66218, 28 9 2.92658, 47 10 3.18925, 51 8 7.52822, 65 5 -1.48055, 69 6 10.3945, 76 3 10.347, 
97 4 7.5983, 101 0 4.60425, 110 0 0.177327, 117 9 1.56794, 120 0 -2.26467, 130 3 5.07539, 145 0 10.8949, 156 8 3.83523, 170 8 2.64342, 189 4 6.07465, 
198 3 3.90199, 241 3 4.90601, 242 8 3.89084, 250 2 9.58804, 251 3 2.93017, 255 0 8.94123, 266 9 3.95043, 268 0 7.49635, 274 6 9.45498, 277 4 8.29091, 
293 6 7.78781, 303 0 1.02746, 310 1 5.11489, 315 7 5.68026, 316 5 8.38993, 330 6 7.41907, 344 7 1.27794, 365 3 3.83647, 371 0 0.994384, 373 8 7.82369, 
379 8 5.03563, 384 1 4.21453, 395 7 4.80269, 414 9 4.0189, 416 6 6.15256, 420 6 -2.25879, 432 8 7.23403, 433 3 7.62076, 441 5 3.91404, 450 10 2.8373, 
457 1 1.83833, 462 5 11.7456, 464 10 6.22764, 473 6 4.74002, 481 4 6.85352, 489 9 2.84118, 511 9 2.79089, 520 6 2.27105, 547 9 2.53308, 556 6 2.6075, 
560 8 3.32346, 570 8 10.9316, 572 3 1.68148, 626 10 6.78552, 636 1 2.00967, 638 7 2.88784, 643 10 -2.27544, 651 9 1.93689, 669 0 7.75586, 674 7 4.78087, 
683 3 2.56375, 689 8 4.66449, 724 3 4.76633, 730 5 9.64766, 745 10 5.43455, 753 9 -0.391003, 762 9 2.12494, 765 7 4.72002, 786 7 2.9558, 793 2 7.94462, 
795 7 4.42921, 800 4 2.2542, 805 8 0.690588, 815 10 2.12577, 823 3 9.35015, 834 9 9.49579, 837 5 0.981765, 853 0 6.27061, 855 7 3.61604, 860 1 9.37587, 
864 2 3.81596, 867 0 3.48877, 872 1 7.52104, 881 10 6.46511, 891 3 4.24776, 906 4 4.23101, 915 1 2.68467, 933 9 3.10119, 935 7 7.00307, 945 6 -3.5789, 
948 0 5.18039, 969 3 5.92974, 986 3 4.69994, 995 4 5.90661, 1003 10 6.18499, 1004 5 -3.36122, 1025 5 7.33212, 1040 10 7.62811, 1044 7 3.93341, 1062 0 10.2206, 
1069 5 3.23834, 1079 9 6.28008, 1092 1 7.60406, 1095 1 7.94113, 1100 1 -0.342827, 1112 10 9.22217, 1115 2 9.81941, 1120 10 4.32675, 1143 8 7.45474, 1147 9 8.13419, 
1151 3 6.58891, 1164 1 2.87833, 1194 3 8.05194, 1212 5 7.0817, 1216 1 6.12998, 1225 10 8.19513, 1228 4 1.82177, 1233 3 3.93523, 1249 7 2.9202, 1255 7 0.914615, 
1259 10 4.46626, 1266 7 6.08583, 1268 10 3.33779, 1270 0 6.39633, 1288 2 6.9687, 1297 7 5.58972, 1319 10 9.43462, 1330 9 2.56911, 1332 3 3.85639, 1334 9 5.63066, 
1350 1 5.51083, 1360 2 8.12027, 1361 0 1.76395, 
