15 2 6.30323, 23 4 3.85537, 42 8 3.97764, 45 6 7.78532, 55 7 -0.744163, 66 2 5.12314, 77 7 8.02719, 84 7 5.02899, 88 7 3.29162, 
114 0 7.49284, 119 1 3.28399, 137 0 1.65654, 148 3 -0.0398978, 154 10 8.75457, 169 0 4.69366, 174 6 7.26121, 179 0 -1.82033, 182 3 8.3294, 199 8 10.8072, 
210 6 1.60822, 215 0 8.56204, 216 1 5.4712, 231 8 2.52865, 256 5 5.89577, 275 6 3.02773, 289 10 5.80699, 290 6 6.04524, 292 9 2.56863, 308 0 5.48688, 
312 8 4.70484, 334 9 8.70413, 336 0 7.27477, 337 1 8.13309, 348 5 6.5957, 352 1 5.70363, 355 10 6.61354, 361 6 3.4412, 367 5 5.88936, 372 4 6.14515, 
386 8 2.24746, 390 7 2.10982, 408 9 4.06342, 418 3 2.23301, 425 8 1.08477, 438 8 4.25015, 445 2 8.02156, 455 0 4.77783, 476 0 6.14913, 483 2 3.72892, 
493 7 4.54651, 518 1 2.88138, 534 4 1.49771, 554 8 6.1333, 555 10 6.78786, 562 4 5.18846, 584 0 8.3915, 601 4 2.23496, 612 2 6.53477, 622 8 8.30537, 
624 10 0.0312239, 631 2 2.4175, 633 3 6.40486, 649 8 7.9355, 653 5 3.56807, 663 8 1.84262, 667 7 7.92791, 686 3 6.088, 697 1 5.24833, 702 1 1.97893, 
706 5 3.14549, 708 3 0.415602, 729 10 -0.705963, 733 7 2.92908, 748 2 2.04992, 750 2 5.03299, 776 8 6.89331, 778 6 0.09621, 789 5 10.1878, 798 4 -3.01069, 
812 1 3.55871, 829 2 7.5631, 845 8 8.3354, 871 0 6.14913, 885 4 6.65335, 896 3 1.26827, 899 4 6.63224, 921 4 -0.264561, 926 8 2.50557, 930 6 9.12663, 
947 8 1.54198, 974 3 4.95409, 978 4 2.35506, 981 1 7.94164, 1012 5 4.42972, 1021 8 8.18552, 1028 0 9.2784, 1050 9 9.38363, 1056 9 6.70431, 1057 8 6.90826, 
1072 2 6.12372, 1076 3 4.80963, 1077 9 4.67831, 1089 6 5.16913, 1097 3 4.23965, 1109 1 -0.618834, 1110 2 3.0311, 1123 2 4.27281, 1125 6 5.69299, 1135 5 1.95874, 
1153 9 5.08918, 1155 7 4.39557, 1156 0 7.1015, 1177 8 6.96913, 1184 1 10.4949, 1189 9 8.76735, 1197 8 0.800344, 1208 9 5.61503, 1221 6 4.55544, 1234 1 6.72897, 
1237 10 4.87174, 1241 5 3.02338, 1258 9 6.88045, 1262 1 6.11746, 1263 5 0.769254, 1269 4 7.40634, 1275 9 2.51478, 1284 0 0.744813, 1286 8 2.22324, 1300 5 4.14972, 
1304 8 4.57375, 1306 7 8.62873, 1327 5 7.98134, 1344 2 7.26323, 1346 1 3.88659, 1359 10 2.05809, 
